yearmonth,Mkt-RF,SMB,HML,RMW,CMA,RF
199007,4.46,0.2,-1.52,0.28,1.1,0.68
199008,-10.88,0.25,-0.3,-0.5,1.66,0.66
199009,-12.19,1.92,0.44,0.33,1.78,0.6
199010,6.45,-2.58,-1.12,0.86,-0.73,0.68
199011,-0.42,-2.66,0.57,0.25,-0.33,0.57
199012,-1.55,0.9,0.26,1.03,0.3,0.6
199101,1.51,-3.95,-0.03,0.68,-0.34,0.52
199102,7.3,1.12,0.66,0.42,-2.32,0.48
199103,-6.7,1.94,-0.27,2.22,-1.43,0.44
199104,-0.87,-0.3,-0.59,1.02,1.32,0.53
199105,0.49,-3.15,0.12,1.18,1.96,0.47
199106,-7.41,0.87,-0.69,0.68,0.84,0.42
199107,5.3,-3.22,-0.35,2.71,-0.49,0.49
199108,1.42,-0.96,-0.08,2.77,0.21,0.46
199109,3.02,1.78,-0.05,2.7,-0.53,0.46
199110,-2.62,-0.73,-1.3,1.94,0.21,0.42
199111,-2.27,0.52,-1.81,0.75,-0.44,0.39
199112,6.3,-3.85,-2.1,1.19,-1.31,0.38
199201,-0.52,-0.76,1.29,0.3,0.45,0.34
199202,-0.44,-0.23,0.18,1.25,-0.16,0.28
199203,-3.74,0.37,0.29,0.57,0.5,0.34
199204,5.02,-1.35,-0.07,2.61,1.9,0.32
199205,5.09,0.11,1.4,1.01,0.83,0.28
199206,-1.17,0.61,-0.85,-0.09,0.27,0.32
199207,-4.1,-1.21,-1.37,2.82,-0.46,0.31
199208,-0.8,-1.3,-0.51,1.26,-1.5,0.26
199209,-2.99,-3.63,-1.82,1.44,0.87,0.26
199210,-7.71,-2.42,1.2,-2.98,-1.16,0.23
199211,-0.65,-2.65,-0.13,0.57,1.17,0.23
199212,1.22,-0.24,-1.17,2.05,0.69,0.28
199301,0.63,3.34,2.95,-1.23,1.12,0.23
199302,1.11,-0.75,1.74,-0.74,0.31,0.22
199303,5.43,1.31,0.86,-0.1,2.67,0.25
199304,1.92,3.59,1.93,-1.61,1.05,0.24
199305,0.91,0.34,1.5,-0.44,0.96,0.22
199306,-3.23,-1.48,1.53,-0.93,1.94,0.25
199307,1.03,-0.77,3,-0.91,1.2,0.24
199308,8.61,0.87,2.31,0.54,-0.3,0.25
199309,-0.64,0.98,0.04,0.72,0.46,0.26
199310,2.46,-1.83,0.76,0.63,-0.26,0.22
199311,-2.31,0.74,-1.59,0.75,0.83,0.25
199312,7.16,-2.19,2.61,-0.47,0.54,0.23
199401,5.89,5.97,4.34,-2.53,2.73,0.25
199402,-3.46,4.19,1.01,0.44,1.31,0.21
199403,-2.8,1.48,1.79,0.65,-0.23,0.27
199404,3.79,-0.51,1.48,-0.9,0.74,0.27
199405,-4,1.86,0.53,-0.53,0.58,0.32
199406,-1.16,-0.28,-1,0.51,0.31,0.31
199407,4.66,-2.96,1.06,1.06,0.55,0.28
199408,1.9,-0.68,-2.62,3.04,-0.58,0.37
199409,-3.58,2.71,0.31,-0.15,-0.13,0.37
199410,3.59,-2.94,-0.33,1.47,-0.18,0.38
199411,-4.54,-0.41,0.45,-1.17,-0.42,0.37
199412,0.02,0.3,-0.58,0.57,-0.35,0.44
199501,-1.55,1.62,0.96,0.29,0.27,0.42
199502,1.97,-0.62,-0.76,0.82,-0.78,0.4
199503,3.45,-1.62,-2.47,2.76,-0.23,0.46
199504,2.56,-1.64,0.4,-0.01,-1.08,0.45
199505,1.76,-0.21,0.46,0.16,-0.97,0.54
199506,1,0.14,-0.63,0.78,-0.94,0.47
199507,3.99,-1.54,-1.03,1.81,-1.75,0.45
199508,-4.05,1.14,-2.29,2.12,-0.14,0.47
199509,2.37,-0.55,-1.93,0.89,-0.92,0.43
199510,-0.71,-0.95,-0.29,-0.16,-0.46,0.47
199511,-0.32,-3.3,0.78,-0.05,0.78,0.42
199512,1.84,-1.19,1.03,-1.78,-0.54,0.49
199601,0.44,0.06,0.12,1.75,-0.03,0.43
199602,1.88,1.65,0.21,2.56,-0.64,0.39
199603,0.89,0.42,0.51,0.77,0.56,0.39
199604,0.62,0.56,0.37,0.19,-0.04,0.46
199605,1.5,1.78,-0.28,1.97,-0.67,0.42
199606,0.22,-0.51,0.33,0.66,0.63,0.4
199607,-1.79,-0.13,0.97,-0.28,0.06,0.45
199608,2.26,-0.85,-1.49,1.83,-1.32,0.41
199609,1.17,-2.61,0.49,1.26,-0.19,0.44
199610,1.55,0.98,-1.3,1.49,-1.22,0.42
199611,4.08,-2.53,1.01,0.26,-0.19,0.41
199612,2.01,0.17,0.75,1.06,0.42,0.46
199701,-0.35,0.74,2.01,-1,1.02,0.45
199702,0.68,0.6,-0.25,-0.29,-1.32,0.39
199703,2.04,-0.96,1.09,0.11,1.52,0.43
199704,-0.75,-1.38,0.19,1.11,0.26,0.43
199705,4.14,-1.16,1.1,-1.25,-0.3,0.49
199706,3.66,-3.45,1.04,0.32,1.41,0.37
199707,3.12,-5.44,1.81,-0.95,-0.01,0.43
199708,-5.29,5.86,-0.87,1.15,1.41,0.41
199709,8.74,-3.57,2.67,0.73,-0.06,0.44
199710,-4.88,4.09,0.89,-0.37,-0.01,0.42
199711,0.75,-2.99,-0.49,0.42,-1.93,0.39
199712,2.26,-3.5,1.95,-0.99,-0.94,0.48
199801,3.16,-1.29,0.46,-1.18,0.72,0.43
199802,7.49,-1.77,1,-1.55,-0.85,0.39
199803,6.91,1.78,4.53,-0.17,-0.66,0.39
199804,2.19,1.51,-0.56,1.86,-2.11,0.43
199805,2.22,2.39,1.01,0.54,-1.96,0.4
199806,-0.5,-3.39,-1.88,2.27,-1.57,0.41
199807,1.53,-3.31,1.5,-2.09,-4.22,0.4
199808,-12.08,1.51,-2.51,1.82,4.31,0.43
199809,-4.84,0.59,-2.7,0.11,4.84,0.46
199810,6.59,-5.65,0.83,-0.22,-1.9,0.32
199811,4.24,-3,0.72,-1.09,-2.61,0.31
199812,2.88,-2.68,-1.89,0.85,0.08,0.38
199901,-0.43,-0.02,-2.07,1.69,-3.57,0.35
199902,-2.19,2.47,-1.1,2.16,1.81,0.35
199903,-0.03,-0.28,1.38,-0.71,1.58,0.43
199904,2.95,0.85,1.87,0.35,-0.32,0.37
199905,-3.8,4.37,0.11,0.19,1.79,0.34
199906,1.71,0.15,0.52,0.39,-1.48,0.4
199907,1.1,3.41,0.29,-0.82,1.36,0.38
199908,1.33,3.33,-1.1,-1.56,-3.24,0.39
199909,-0.33,1.35,-1.8,-1.57,-1.89,0.39
199910,1.74,-1.13,-3.83,2.14,-1.5,0.39
199911,2.74,-0.39,-9.21,2.86,-5.48,0.36
199912,9.25,-4.91,-4.37,4.61,-6.19,0.44
200001,-7.1,8.81,-6.08,2.63,-4.28,0.41
200002,5.94,0.84,-9.45,3.55,-7.33,0.43
200003,0.66,-5.15,3.33,-2.59,4.96,0.47
200004,-5.58,-4.62,5.93,-1.53,1.32,0.46
200005,-0.09,0.16,6.17,-3.38,4.94,0.5
200006,0.67,0.33,3.14,-3.45,1.22,0.4
200007,-1.58,-0.69,3.31,-0.12,-0.12,0.48
200008,-1.61,0.68,-0.5,-1.27,0.64,0.5
200009,-4.99,2.35,2.64,1.63,2.16,0.51
200010,-2.71,-6.1,7.54,2.7,4.1,0.56
200011,-4.55,-0.78,11.15,0.79,8.75,0.51
200012,5.69,0.34,3.35,-0.6,0.68,0.5
200101,0.36,1.84,0.59,-0.81,0.87,0.54
200102,-8.74,4.79,9.24,-1.56,6.86,0.38
200103,-9.34,-0.69,5.89,2.5,2.65,0.42
200104,7.39,-3.46,-3.26,2.72,-1.91,0.39
200105,-5.05,2.86,4.18,-0.19,3.41,0.32
200106,-3.64,-0.77,6.24,-1.16,5.27,0.28
200107,-0.67,-1.68,3.9,2.25,3.44,0.3
200108,-2.06,2.31,4.04,1.5,5.07,0.31
200109,-11.54,-4.79,2.33,1.07,3.26,0.28
200110,3.24,1.34,-3.24,-1.78,-5.46,0.22
200111,4.05,2,-1.16,-2.24,-4.33,0.17
200112,1.82,-1.54,1.4,2.54,0.87,0.15
200201,-4.74,3.31,1.68,3.23,2.63,0.14
200202,0.4,0,1.57,2.91,4.69,0.13
200203,5.1,-0.52,0.82,0.36,-0.28,0.13
200204,-0.3,3.35,4.83,1.36,5.36,0.15
200205,0.38,2.07,4.61,0.28,2.69,0.14
200206,-2.46,1.75,2.44,2.58,4.67,0.13
200207,-10.54,2.39,3.13,1.49,0.56,0.15
200208,0.13,-1.84,2.11,0.72,-0.35,0.14
200209,-13.2,3.33,-1.89,6.08,0.56,0.14
200210,8.6,-7.41,-0.92,-4.55,-0.05,0.14
200211,4.87,-0.76,2.19,-4.84,0.49,0.12
200212,-2.78,4.22,3.29,2.08,0.2,0.11
200301,-3.43,2.38,2.54,-0.92,1.1,0.1
200302,-3.38,0.55,1.68,0.15,-0.66,0.09
200303,-1.5,0.82,-0.48,1.67,0.46,0.1
200304,13.16,-2.3,0.18,-3.45,-0.11,0.1
200305,7.66,2.92,1.19,-1.21,0.2,0.09
200306,1.18,2,0.36,0.78,-0.4,0.1
200307,1.67,1.23,3.91,-3.56,2.26,0.07
200308,0.17,3.3,0.03,1.04,1.12,0.07
200309,2.82,2.82,0.07,0.32,-0.12,0.08
200310,6.17,-0.81,3.67,-2.86,2.24,0.07
200311,4.49,0.15,0.41,-0.12,0.87,0.07
200312,7.34,-1.93,0.49,0.41,-0.25,0.08
200401,2.46,4.03,2.38,-1.72,3.75,0.07
200402,3.07,1.16,0.38,0.8,-0.92,0.06
200403,-3.32,0.86,-0.23,1.38,-2.16,0.09
200404,-1.17,-0.83,0.87,0.64,-0.42,0.08
200405,1.41,-1.04,-0.83,0.86,-1.25,0.06
200406,2,1.21,0.98,0.84,1.03,0.08
200407,-3.14,0.17,0.44,1.63,-1.11,0.1
200408,0.34,-0.38,1.32,-0.24,-0.44,0.11
200409,4,0.19,0.79,-0.63,-0.32,0.11
200410,4.11,0.11,0.69,-0.01,0.36,0.11
200411,6.85,2.15,1.73,-1.4,0.84,0.15
200412,4.27,0.62,0.65,0.65,0.45,0.16
200501,-1.25,3.7,1.6,0.15,-0.58,0.16
200502,4.58,0.94,1.07,0.37,0.35,0.16
200503,-2.57,-0.15,0.26,0.22,0.12,0.21
200504,-2.58,0.52,-0.1,-0.35,0.57,0.21
200505,-0.06,-1.44,1.16,-0.45,0.4,0.24
200506,1.54,1.02,1.71,0.7,-0.1,0.23
200507,3.82,0.55,1.34,-0.16,-0.5,0.24
200508,2.02,2.14,-0.11,0.17,0.57,0.3
200509,1.48,-0.15,0.13,0.52,-1.03,0.29
200510,-3.41,-1.15,0.41,-1.05,1.13,0.27
200511,1.29,-0.2,0.57,-0.04,-1.5,0.31
200512,3.8,0.63,0.45,-0.63,-0.41,0.32
200601,6.39,2.34,1.75,-0.66,-2.17,0.35
200602,0.55,2.15,1.45,-1.3,-1.04,0.34
200603,3.99,0.79,1.72,-1.19,0.24,0.37
200604,5.25,2.01,-0.32,1.07,0.16,0.36
200605,-3.65,-0.96,-0.54,1.02,1.04,0.43
200606,-0.21,-1.76,-0.51,0.31,-0.7,0.4
200607,1,-1.73,1.6,-0.43,0.15,0.4
200608,2.7,-0.18,0.38,-0.05,-0.39,0.42
200609,0.69,0.05,0.34,-0.51,0.78,0.41
200610,3.82,0.22,1.49,0.51,-0.53,0.41
200611,3.76,2.42,0.34,0.01,0.2,0.42
200612,3.32,0.97,0.54,0.01,-0.57,0.4
200701,0.61,1.99,0.77,-0.63,0.62,0.44
200702,-0.51,1.35,-0.1,0.91,0.64,0.38
200703,3.71,0.7,0.04,0.89,0.21,0.43
200704,5.54,-0.21,1.26,0.2,0.33,0.44
200705,1.56,-0.74,0.55,1.11,1.1,0.41
200706,-0.17,-0.48,0.4,2.29,0.42,0.4
200707,-2.22,1.9,-0.36,1.32,-0.51,0.4
200708,-2.08,-3.06,-0.06,0.64,1.03,0.42
200709,4.82,-3.78,-0.85,-0.7,-0.88,0.32
200710,4.36,0.22,-0.96,1.48,-1.42,0.32
200711,-4.02,-4.46,-1.76,0.49,1.53,0.34
200712,-2.11,-0.96,1.23,-0.12,0.55,0.27
200801,-10,0.46,-0.02,-0.93,1.57,0.21
200802,1.96,2.63,-0.53,0.51,-1.3,0.13
200803,0.26,-0.62,2.38,-0.81,-0.2,0.17
200804,4.42,-2.63,-0.01,1.72,-0.8,0.18
200805,0.85,0.39,-1.17,0.46,-0.88,0.18
200806,-8.69,1.92,-0.69,-0.04,1.36,0.17
200807,-3.83,-1.86,0.96,-0.73,1.1,0.15
200808,-4.57,0.3,-0.09,0.69,1.81,0.13
200809,-15.07,-2.7,0.93,-0.17,5.44,0.15
200810,-22.03,-4.64,-3.53,4.1,4.56,0.08
200811,-7.17,-1.18,-3.65,0.92,3.19,0.03
200812,6.69,-1.45,1.18,-1.71,3.55,0
200901,-10.98,4.69,-4.03,1.35,-1.83,0
200902,-9.95,4.33,-4.29,3.32,-0.42,0.01
200903,6.94,-2.34,1.41,0.78,-2.78,0.02
200904,13.67,2.07,6.75,-1.49,-3.53,0.01
200905,12.86,1.11,-1.36,1.32,-2.69,0
200906,-1.87,1.62,-1.21,0.3,0.43,0.01
200907,10.18,-3.4,3.78,0.18,-0.24,0.01
200908,5.65,2.64,7.52,-4.73,2.47,0.01
200909,5.43,1.94,1.14,0.19,1.2,0.01
200910,-1.85,1.44,-3.28,2.87,-0.35,0
200911,3,-2,-1.24,2.96,0.85,0
200912,0.94,-1.87,-1.23,2.06,-0.02,0.01
201001,-5.28,4.68,-1.86,1.48,-0.04,0
201002,-2.1,-0.84,-1.79,0.75,-0.53,0
201003,6.41,-0.71,4.27,0.12,-0.39,0.01
201004,-1.66,3.13,-0.29,2.25,-0.74,0.01
201005,-12.06,-0.55,-3.6,0.69,-0.85,0.01
201006,-0.97,-0.07,-2.22,-1.07,-1.11,0.01
201007,11.88,-1.72,4.62,-2.83,0.97,0.01
201008,-4.26,-0.06,-2.7,2.64,-2.14,0.01
201009,11.56,0.93,-0.28,-0.43,1.55,0.01
201010,4.98,0.62,0.08,1.38,-0.33,0.01
201011,-8.03,1.07,-3.46,1.77,0.11,0.01
201012,9.04,2.18,1.11,-1.6,1.12,0.01
201101,3.68,-0.22,5.52,-3.02,1.37,0.01
201102,3.06,-1.09,0.7,0.46,0.04,0.01
201103,-0.17,2.08,-1.83,2,-0.37,0.01
201104,8.14,-1.17,-0.68,1.02,0.74,0
201105,-3.06,0.23,-2.28,1.93,-0.67,0
201106,-2.05,-1.24,0.11,0.99,-0.64,0
201107,-3.33,0.2,-4.05,2.26,-0.48,0
201108,-10.11,0.85,-3.74,3.48,-1.12,0.01
201109,-11.61,-1.13,-1.79,2.29,1.44,0
201110,10.97,-3.38,-1.09,1.21,-3,0
201111,-4.85,-2.54,-3.26,2.69,-0.42,0
201112,-2.21,-0.99,-0.98,0.36,0.25,0
201201,5.69,2.67,0.94,-2.07,-2.09,0
201202,6.41,1.38,-0.37,-0.8,-0.77,0
201203,0.02,0.77,-1.56,0.96,1.64,0
201204,-2.23,1.24,-4.18,3,-0.67,0
201205,-12.31,0.29,-2.48,2.59,1.41,0.01
201206,7.13,-4.32,3.01,-0.47,2.02,0
201207,0.56,-1.33,-2.57,2.46,-2.2,0
201208,4.5,0.05,3.37,-1.94,1.54,0.01
201209,3.49,1.67,2.14,-1.52,0.82,0.01
201210,1.66,-0.58,2.04,-1.12,-0.3,0.01
201211,2.27,-2.44,-0.49,0.56,-0.87,0.01
201212,3.38,2.49,3.08,-0.73,0.9,0.01
201301,6.2,0.65,4.24,-3.33,1.81,0
201302,-2.49,2,-3.44,2.07,-1.36,0
201303,-0.54,-0.81,-4.36,2.21,-0.33,0
201304,4.16,-1.38,3.55,-1.08,1.28,0
201305,1.06,1.21,2.88,-1.07,-0.16,0
201306,-4.64,2.14,-2.45,2.27,0.39,0
201307,7.45,-1.45,2.77,-0.6,0.3,0
201308,-0.7,2.64,0.57,0.02,0.93,0
201309,7.04,0.17,1.31,-0.94,1.53,0
201310,4.49,0.03,4.39,-1.76,1.75,0
201311,1.33,0.81,-0.55,0.67,0.63,0
201312,2.37,0.55,-0.22,0.4,0.29,0
201401,-3.03,3.63,2.48,-1.19,2.06,0
201402,7.42,0.53,0.64,0.7,0.95,0
201403,-0.55,0.62,1.78,1.1,0.16,0
201404,1.77,-2.06,0.46,0.44,-1.12,0
201405,0.77,-0.6,-0.42,0.69,-0.39,0
201406,-0.12,0.19,-1.62,2.07,-0.96,0
201407,-4.1,-0.6,0.26,-1.63,0.4,0
201408,-0.02,-0.93,-0.99,0.23,-0.77,0
201409,-3.79,-2.18,-0.35,-0.44,0.39,0
201410,-2.7,-1.15,-3.19,2.33,-0.53,0
201411,2.12,-1.36,-1.93,0.67,0.24,0
201412,-3.7,2.3,-2.4,1.57,-1.94,0
201501,-0.3,-1.55,-3.48,2.84,-1.06,0
201502,6.21,0.87,1.91,-1.97,-0.13,0
201503,-2.28,-0.32,-0.42,0,0.79,0
201504,4.79,2.07,0.39,0.03,-0.41,0
201505,-0.15,1.5,-2.59,0.05,-0.66,0
201506,-2.84,1.94,0.13,-0.14,-0.22,0
201507,2.39,-0.93,-2.66,0.93,-0.76,0
201508,-6.02,3.64,-0.99,0.79,-0.9,0
201509,-4.27,1.17,-3.63,2.7,-0.98,0
201510,6.19,-2.94,-0.77,1.98,-0.06,0
201511,-1.49,0.31,-2.8,3.03,-2.12,0
201512,-1.86,3.74,-1.25,0.67,-1.65,0.01
201601,-6.43,-0.62,-1.49,2.47,2.28,0.01
201602,-1.71,1.48,0.38,0.64,0.88,0.02
201603,6.7,1.79,1.18,0.74,-1.13,0.02
201604,2.38,-0.56,3.35,-1.88,0.9,0.01
201605,-0.38,1.41,-2.87,1.76,-0.48,0.01
201606,-5.01,-2.24,-1.64,3.25,2.82,0.02
201607,4.44,1.51,0.21,0.07,-0.86,0.02
201608,0.77,1.7,1.92,-1.92,-0.02,0.02
201609,0.95,0.97,-0.14,0.32,0.03,0.02
201610,-3.08,-0.5,6.36,-3.85,2.95,0.02
201611,-2.5,1,1.92,-1.53,1.87,0.01
201612,4.72,-0.82,1.99,-0.91,1.04,0.03
201701,2.84,2.12,0.47,-0.24,0.18,0.04
201702,0.68,0.02,-2.6,2.73,-1.32,0.04
201703,4.27,-1.28,0.5,0.12,-0.28,0.03
201704,4.63,1.94,-1.3,1.6,-1.32,0.05
201705,5.03,0.03,-0.79,1.22,-0.69,0.06
201706,-0.67,1.61,2.04,-2.01,0.79,0.06
201707,3.49,0.68,2.6,-2.24,0.34,0.07
201708,0.11,0.03,-0.7,1.45,-0.04,0.09
201709,2.72,-0.16,0.47,0.33,-0.5,0.09
201710,0.59,-0.99,-0.12,0.1,-0.32,0.09
201711,-0.01,-0.29,1.28,-0.37,0.89,0.08
201712,1.47,1.54,0.5,-0.75,0.34,0.09
201801,5.52,0.64,1.1,-2.13,0.91,0.11
201802,-5.35,1.1,-0.75,0.19,-0.25,0.11
201803,-0.71,-0.56,-0.94,1.45,-1.37,0.12
201804,2.2,-0.71,1.5,-0.52,0.43,0.14
201805,-2.73,1.08,-4.98,2.38,-2.42,0.14
201806,-0.92,-0.9,-1.56,-0.16,-0.57,0.14
201807,2.69,-2.06,0.41,-0.53,-0.86,0.16
201808,-2.65,0.85,-2.64,0.87,-1.74,0.16
201809,0.12,-1.34,2.33,-0.53,0.64,0.15
201810,-8.54,-1.51,1.48,-0.37,1.15,0.19
201811,-1.31,-1.11,-0.57,0.78,0.46,0.18
201812,-4.59,-0.51,0.95,0.7,0,0.19
201901,6.19,0.56,-0.96,1.66,-1.28,0.21
201902,2.93,-1.47,-1.22,-0.02,-0.16,0.18
201903,0.58,-1.8,-2.32,1.23,-0.87,0.19
201904,3.7,0.14,-1.05,0.34,-0.29,0.21
201905,-5.34,1.2,-1.54,-0.59,0.01,0.21
201906,5.87,-2.55,-1.32,1.49,0.1,0.18
201907,-2.56,-1.32,0.04,-1.17,0.05,0.19
201908,-2.39,-0.68,-1.91,0.88,-0.02,0.16
201909,2.15,-0.67,3.08,-0.47,1.25,0.18
201910,3.26,0.83,-0.51,1.27,-1.59,0.15
201911,1.78,1.88,-2.29,1.32,-1.65,0.12
201912,4.07,2.71,0.4,-0.4,0.14,0.14
202001,-2.55,0.14,-2.95,0.6,-1.66,0.13
202002,-8.94,0.15,-0.69,-0.83,-1.43,0.12
202003,-15.44,-5.09,-10.96,1.75,-2.98,0.12
202004,6.7,4.73,-3.87,2.14,-4.1,0
202005,5.42,0.82,-4.12,2.36,-4.36,0.01
202006,4.04,-1.03,1.71,-1.76,0.38,0.01
202007,3.95,2.19,-4.73,0.76,-2.24,0.01
202008,4.92,2.68,-1.74,0.96,-1.46,0.01
